Timestamp_s,Frame_Index,Crowd_Count,Avg_Speed_norm,Detected_Condition,Risk_Score
4.97,149,4,0.0267,Normal,0.35
5.0,150,4,0.0195,Normal,0.31
5.03,151,4,0.0195,Normal,0.31
5.07,152,4,0.0161,Normal,0.29
5.1,153,4,0.0238,Normal,0.33
5.13,154,4,0.0249,Normal,0.34
5.17,155,4,0.0117,Normal,0.27
5.2,156,4,0.0202,Normal,0.31
5.23,157,4,0.0126,Normal,0.27
5.27,158,4,0.0126,Normal,0.27
5.3,159,4,0.0195,Normal,0.31
5.33,160,4,0.0039,Normal,0.22
5.37,161,4,0.0087,Normal,0.25
5.4,162,4,0.0087,Normal,0.25
5.43,163,4,0.0087,Normal,0.25
5.47,164,4,0.0214,Normal,0.32
5.5,165,4,0.0087,Normal,0.25
5.53,166,4,0.0141,Normal,0.28
5.57,167,4,0.0126,Normal,0.27
5.6,168,4,0.011,Normal,0.26
5.63,169,4,0.0156,Normal,0.29
5.67,170,4,0.0133,Normal,0.28
5.7,171,4,0.0055,Normal,0.23
5.73,172,4,0.0087,Normal,0.25
5.77,173,4,0.0039,Normal,0.22
5.8,174,4,0.0078,Normal,0.24
5.83,175,4,0.0163,Normal,0.29
5.87,176,4,0.011,Normal,0.26
5.9,177,4,0.0117,Normal,0.27
5.93,178,4,0.0156,Normal,0.29
5.97,179,4,0.0205,Normal,0.32
6.0,180,4,0.0163,Normal,0.29
6.03,181,4,0.0124,Normal,0.27
6.07,182,4,0.011,Normal,0.26
6.1,183,4,0.0087,Normal,0.25
6.13,184,4,0.0087,Normal,0.25
6.17,185,4,0.0055,Normal,0.23
6.2,186,4,0.0039,Normal,0.22
6.23,187,4,0.0094,Normal,0.25
6.27,188,4,0.0087,Normal,0.25
6.3,189,4,0.0078,Normal,0.24
6.33,190,4,0.0078,Normal,0.24
6.37,191,4,0.0055,Normal,0.23
6.4,192,4,0.0078,Normal,0.24
6.43,193,4,0.0094,Normal,0.25
6.47,194,4,0.0126,Normal,0.27
6.5,195,4,0.0055,Normal,0.23
6.53,196,4,0.0126,Normal,0.27
6.57,197,4,0.0078,Normal,0.24
6.6,198,4,0.0094,Normal,0.25
6.63,199,4,0.0078,Normal,0.24
6.67,200,4,0.0039,Normal,0.22
6.7,201,4,0.0039,Normal,0.22
6.73,202,4,0.0039,Normal,0.22
6.77,203,4,0.0094,Normal,0.25
6.8,204,4,0.0055,Normal,0.23
6.83,205,4,0.0078,Normal,0.24
6.87,206,4,0.0133,Normal,0.28
6.9,207,4,0.0055,Normal,0.23
6.93,208,4,0.0078,Normal,0.24
6.97,209,4,0.0055,Normal,0.23
7.0,210,4,0.0,Normal,0.2
7.03,211,4,0.0,Normal,0.2
7.07,212,4,0.0087,Normal,0.25
7.1,213,4,0.0039,Normal,0.22
7.13,214,4,0.0078,Normal,0.24
7.17,215,4,0.0078,Normal,0.24
7.2,216,4,0.0126,Normal,0.27
7.23,217,4,0.0094,Normal,0.25
7.27,218,4,0.0039,Normal,0.22
7.3,219,4,0.0078,Normal,0.24
7.33,220,4,0.0078,Normal,0.24
7.37,221,4,0.0055,Normal,0.23
7.4,222,4,0.0087,Normal,0.25
7.43,223,4,0.0133,Normal,0.28
7.47,224,4,0.0055,Normal,0.23
7.5,225,4,0.0,Normal,0.2
7.53,226,4,0.0094,Normal,0.25
7.57,227,4,0.0039,Normal,0.22
7.6,228,4,0.0055,Normal,0.23
7.63,229,4,0.0078,Normal,0.24
7.67,230,4,0.0133,Normal,0.28
7.7,231,4,0.015,Normal,0.28
7.73,232,4,0.0087,Normal,0.25
7.77,233,4,0.0172,Normal,0.3
7.8,234,4,0.0117,Normal,0.27
7.83,235,4,0.0126,Normal,0.27
7.87,236,4,0.0078,Normal,0.24
7.9,237,4,0.0078,Normal,0.24
7.93,238,4,0.0117,Normal,0.27
7.97,239,4,0.0039,Normal,0.22
8.0,240,4,0.0195,Normal,0.31
8.03,241,4,0.0196,Normal,0.31
8.07,242,4,0.0179,Normal,0.3
8.1,243,4,0.0078,Normal,0.24
8.13,244,4,0.0039,Normal,0.22
8.17,245,4,0.0133,Normal,0.28
8.2,246,4,0.0094,Normal,0.25
8.23,247,4,0.0055,Normal,0.23
8.27,248,4,0.0117,Normal,0.27
8.3,249,4,0.0078,Normal,0.24
8.33,250,4,0.0039,Normal,0.22
8.37,251,4,0.0055,Normal,0.23
8.4,252,4,0.0078,Normal,0.24
8.43,253,4,0.0133,Normal,0.28
8.47,254,4,0.0078,Normal,0.24
