timestamp,event_id,event_type,severity,drowsiness_score,speed,frame_number,evidence_filename,clip_filename,details
2026-07-29 15:57:54,evt_57_4753,HEAD_POSE_TILT,WARNING,3.6,83.8,57,evidence_HEAD_POSE_TILT_20260729_155754_frame_57.jpg,event_HEAD_POSE_TILT_20260729_155754.mp4,"Driver head tilt/distraction: pitch=158.8, roll=-1.9, yaw=30.5"
2026-07-29 15:57:58,evt_110_8052,PHONE_USAGE,CRITICAL,19.8,78.3,110,evidence_PHONE_USAGE_20260729_155758_frame_110.jpg,event_HEAD_POSE_TILT_20260729_155754.mp4,Driver detected holding cell phone.
2026-07-29 15:57:59,evt_126_9435,DRIVER_MISSING,CRITICAL,19.8,76.2,126,evidence_DRIVER_MISSING_20260729_155759_frame_126.jpg,event_DRIVER_MISSING_20260729_155759.mp4,Driver's face missing/not detected for > 2 seconds.
2026-07-29 15:58:02,evt_180_2648,PHONE_USAGE,CRITICAL,19.8,77.7,180,evidence_PHONE_USAGE_20260729_155802_frame_180.jpg,event_DRIVER_MISSING_20260729_155759.mp4,Driver detected holding cell phone.
2026-07-29 15:58:04,evt_204_4445,DRIVER_MISSING,CRITICAL,19.8,83.0,204,evidence_DRIVER_MISSING_20260729_155804_frame_204.jpg,event_DRIVER_MISSING_20260729_155804.mp4,Driver's face missing/not detected for > 2 seconds.
2026-07-29 15:58:06,evt_237_6671,PHONE_USAGE,CRITICAL,19.8,85.4,237,evidence_PHONE_USAGE_20260729_155806_frame_237.jpg,event_DRIVER_MISSING_20260729_155804.mp4,Driver detected holding cell phone.
2026-07-29 15:58:09,evt_278_9489,DRIVER_MISSING,CRITICAL,19.8,81.3,278,evidence_DRIVER_MISSING_20260729_155809_frame_278.jpg,event_DRIVER_MISSING_20260729_155809.mp4,Driver's face missing/not detected for > 2 seconds.
2026-07-29 15:58:10,evt_292_696,PHONE_USAGE,CRITICAL,19.8,78.5,292,evidence_PHONE_USAGE_20260729_155810_frame_292.jpg,event_DRIVER_MISSING_20260729_155809.mp4,Driver detected holding cell phone.
2026-07-29 15:58:14,evt_354_4503,DRIVER_MISSING,CRITICAL,19.8,75.9,354,evidence_DRIVER_MISSING_20260729_155814_frame_354.jpg,event_DRIVER_MISSING_20260729_155814.mp4,Driver's face missing/not detected for > 2 seconds.
2026-07-29 15:58:16,evt_383_6490,HEAD_POSE_TILT,WARNING,14.0,80.7,383,evidence_HEAD_POSE_TILT_20260729_155816_frame_383.jpg,event_DRIVER_MISSING_20260729_155814.mp4,"Driver head tilt/distraction: pitch=-176.9, roll=-1.9, yaw=-6.3"
2026-07-29 15:58:18,evt_421_8935,HEAD_POSE_TILT,WARNING,6.8,84.2,421,evidence_HEAD_POSE_TILT_20260729_155818_frame_421.jpg,event_HEAD_POSE_TILT_20260729_155818.mp4,"Driver head tilt/distraction: pitch=-175.2, roll=-7.4, yaw=-6.5"
